Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
7-February-2005,27.15,28.10,26.00,27.15,27.172495172709718944,9322,67,253302.00,7020,75.31,2.10,0.00
4-February-2005,26.65,26.65,25.75,26.00,26.071111111111111111,675,8,17598.00,650,96.30,0.90,-0.65
3-February-2005,25.05,26.00,25.00,25.35,25.181695827725437415,1486,11,37420.00,1358,91.39,1.00,0.30
2-February-2005,25.00,25.50,25.00,25.50,25.434782608695652173,230,2,5850.00,230,100.00,0.50,0.50
1-February-2005,25.10,26.05,25.00,26.05,25.038159371492704826,4455,50,111545.00,4165,93.49,1.05,0.95
31-January-2005,25.80,26.00,25.30,26.00,25.815688775510204081,1568,18,40479.00,1268,80.87,0.70,0.20
28-January-2005,25.00,27.30,25.00,25.50,26.164285714285714285,700,10,18315.00,500,71.43,2.30,0.50
27-January-2005,26.85,26.85,25.00,25.05,25.294244604316546762,2780,31,70318.00,2230,80.22,1.85,-1.80
25-January-2005,25.00,25.00,24.65,24.65,24.887459807073954983,311,8,7740.00,250,80.39,0.35,-0.35
24-January-2005,25.40,25.45,24.80,24.85,25.058997050147492625,678,7,16990.00,600,88.50,0.65,-0.55
20-January-2005,25.35,25.45,25.35,25.40,25.412500000000000000,400,6,10165.00,400,100.00,0.10,0.05
19-January-2005,25.50,26.25,25.25,26.20,25.775316455696202531,3160,40,81450.00,1620,51.27,1.00,0.70
18-January-2005,27.45,27.45,25.75,25.75,26.402701350675337668,1999,13,52779.00,1899,95.00,1.70,-1.70
17-January-2005,27.10,27.10,26.00,26.05,26.553776435045317220,3310,39,87893.00,2908,87.85,1.10,-1.05
14-January-2005,27.90,27.90,27.05,27.15,27.131474103585657370,502,7,13620.00,501,99.80,0.85,-0.75
13-January-2005,24.00,27.00,24.00,26.40,25.768382352941176470,2448,28,63081.00,1610,65.77,3.00,2.40
12-January-2005,27.30,27.30,25.50,25.85,26.605547850208044382,3605,42,95913.00,3370,93.48,1.80,-1.45
11-January-2005,28.70,28.70,28.00,28.00,28.229166666666666666,2400,21,67750.00,2399,99.96,0.70,-0.70
10-January-2005,30.00,30.00,28.50,28.50,29.160737812911725955,3795,39,110665.00,2511,66.17,1.50,-1.50
7-January-2005,29.65,29.65,26.10,28.15,27.893805309734513274,10283,80,286832.00,4400,42.79,3.55,-1.50
6-January-2005,26.10,27.50,26.00,26.75,26.755322988090941898,2771,25,74139.00,2650,95.63,1.50,0.65
5-January-2005,27.70,28.00,27.00,27.45,27.511058648111332007,8048,52,221409.00,6000,74.55,1.00,-0.25
4-January-2005,29.90,29.90,28.05,28.30,28.393750000000000000,7680,87,218064.00,5710,74.35,1.85,-1.60
3-January-2005,28.70,31.80,28.70,29.10,29.302966625463535228,8090,75,237061.00,7564,93.50,3.10,0.40
